task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
964	7f/5bf5ed	7975094	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_weilii_GCF_006874745)	COMPLETED	0	2025-11-26 11:58:06.630	4m 59s	59.2s	974.7%	189.2 MB	2.7 GB	171.3 MB	69.9 MB
966	03/18a685	7975099	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_andrefontaineae_GCF_004770105)	COMPLETED	0	2025-11-26 11:58:36.012	4m 30s	57.1s	962.7%	169.8 MB	2.7 GB	170 MB	69.2 MB
965	79/793288	7975098	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_hartskeerlii_GCF_002811475)	COMPLETED	0	2025-11-26 11:58:35.940	4m 30s	53.4s	955.6%	167.9 MB	2.7 GB	165.4 MB	67.3 MB
967	70/78ec31	7975100	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_venezuelensis_GCF_002150035)	COMPLETED	0	2025-11-26 11:58:36.068	4m 30s	57.9s	966.0%	171.8 MB	2.7 GB	170.4 MB	69.6 MB
968	64/1f0652	7975101	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_langatensis_GCF_004770615)	COMPLETED	0	2025-11-26 11:58:50.937	4m 15s	48.2s	937.6%	167.8 MB	2.9 GB	166.2 MB	67.6 MB
969	60/579ecb	7975102	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_koniambonensis_GCF_004769555)	COMPLETED	0	2025-11-26 11:58:51.058	4m 15s	58.6s	971.9%	166 MB	2.7 GB	171 MB	69.7 MB
978	9e/7cc581	7975111	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_wolffii_GCF_000306115)	COMPLETED	0	2025-11-26 11:58:51.601	4m 59s	50.5s	944.3%	171.1 MB	2.8 GB	172.4 MB	70.1 MB
980	9c/8551ea	7975113	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_montravelensis_GCF_004769455)	COMPLETED	0	2025-11-26 11:58:51.711	4m 59s	1m 7s	983.0%	171 MB	2.7 GB	166.3 MB	69.7 MB
979	5e/5a1b29	7975112	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_inadai_GCF_000243675)	COMPLETED	0	2025-11-26 11:58:51.656	4m 59s	51.8s	948.7%	170.5 MB	2.7 GB	173.4 MB	70.6 MB
970	31/f53490	7975105	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_yanagawae_GCF_000332475)	COMPLETED	0	2025-11-26 11:58:51.275	5m	1m 6s	991.5%	171.4 MB	2.7 GB	165.6 MB	69.2 MB
974	38/50e454	7975107	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_noumeaensis_GCF_004770765)	COMPLETED	0	2025-11-26 11:58:51.384	5m	1m 6s	984.7%	168.6 MB	2.7 GB	166.7 MB	69.8 MB
975	b2/e5412e	7975108	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_fletcheri_GCF_004769195)	COMPLETED	0	2025-11-26 11:58:51.439	4m 59s	44.7s	922.0%	167.7 MB	2.7 GB	159.1 MB	64.5 MB
973	3c/1a9bf2	7975106	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_stimsonii_GCF_003545885)	COMPLETED	0	2025-11-26 11:58:51.329	5m	1m 3s	975.1%	176.4 MB	2.7 GB	180.8 MB	73.8 MB
977	3e/a7ddb8	7975110	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_perdikensis_GCF_004769575)	COMPLETED	0	2025-11-26 11:58:51.547	4m 59s	1m 3s	986.2%	169.8 MB	2.7 GB	164.7 MB	69 MB
972	91/8f48c8	7975104	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_alexanderi_GCF_000243815)	COMPLETED	0	2025-11-26 11:58:51.220	5m	1m 1s	984.7%	169.3 MB	2.7 GB	168.2 MB	68.4 MB
976	79/95c5d3	7975109	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_barantonii_GCF_002811925)	COMPLETED	0	2025-11-26 11:58:51.493	4m 59s	57s	956.3%	172.4 MB	2.7 GB	172.2 MB	70.2 MB
982	1d/4514be	7975115	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_levettii_GCF_002812085)	COMPLETED	0	2025-11-26 11:59:21.009	4m 30s	1m 3s	993.5%	169 MB	2.7 GB	162.6 MB	68 MB
981	b3/140ea2	7975114	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_broomii_GCF_000243715)	COMPLETED	0	2025-11-26 11:58:51.766	4m 59s	52.8s	946.8%	178 MB	2.7 GB	172.3 MB	70.3 MB
971	1e/a29309	7975103	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_wolbachii_GCF_000332515)	COMPLETED	0	2025-11-26 11:58:51.144	5m 30s	1m 3s	973.9%	181.9 MB	2.8 GB	166.3 MB	69.7 MB
983	c9/48d1b2	7975116	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_interrogans_GCF_000343165)	COMPLETED	0	2025-11-26 11:59:21.085	5m	1m 15s	1012.3%	167.8 MB	2.7 GB	174.1 MB	71.1 MB
984	e5/074aa4	7975117	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_noguchii_GCF_000306255)	COMPLETED	0	2025-11-26 11:59:21.182	5m	1m 16s	1014.0%	165.2 MB	2.7 GB	178.2 MB	72.7 MB
985	33/08bc14	7975118	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_borgpetersenii_GCF_003046425)	COMPLETED	0	2025-11-26 11:59:21.239	5m	56.4s	971.8%	159.6 MB	2.8 GB	160.7 MB	65.3 MB
988	b1/54fe30	7975121	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_bandrabouensis_GCF_004770905)	COMPLETED	0	2025-11-26 11:59:21.409	5m	1m 5s	985.3%	176.9 MB	2.7 GB	165.3 MB	69.3 MB
987	c2/272fe1	7975120	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_alstonii_GCF_000347175)	COMPLETED	0	2025-11-26 11:59:21.352	5m	59.9s	979.5%	168.4 MB	2.7 GB	171.9 MB	69.8 MB
990	2e/742f8b	7975123	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_ilyithenensis_GCF_004771005)	COMPLETED	0	2025-11-26 11:59:21.521	4m 59s	1m 4s	981.5%	171 MB	2.8 GB	168.5 MB	70.9 MB
991	55/4884ab	7975124	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_kanakyensis_GCF_004769235)	COMPLETED	0	2025-11-26 11:59:50.949	4m 30s	1m 6s	982.7%	170.2 MB	2.8 GB	167.4 MB	70.2 MB
992	2f/121c18	7975125	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_ellinghausenii_GCF_003114815)	COMPLETED	0	2025-11-26 11:59:51.027	4m 30s	1m 4s	979.2%	170.7 MB	2.7 GB	176.1 MB	71.9 MB
993	03/bc4c00	7975127	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_brenneri_GCF_002812125)	COMPLETED	0	2025-11-26 12:00:05.935	4m 15s	1m 4s	979.3%	169.6 MB	2.7 GB	174.4 MB	71.2 MB
994	85/48cf51	7975128	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_perolatii_GCF_002811875)	COMPLETED	0	2025-11-26 12:00:06.028	4m 15s	1m 3s	977.5%	169.2 MB	2.7 GB	171.6 MB	72.1 MB
998	21/3bc12b	7975132	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_ryugenii_GCF_003114855)	COMPLETED	0	2025-11-26 12:00:06.253	4m 15s	56.6s	959.8%	171.8 MB	2.7 GB	171.2 MB	69.8 MB
989	9b/fa30db	7975122	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_ainazelensis_GCF_016918785)	COMPLETED	0	2025-11-26 11:59:21.465	5m 44s	1m 6s	985.7%	169 MB	2.8 GB	181.1 MB	74 MB
995	04/3eed45	7975129	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_congkakensis_GCF_004770265)	COMPLETED	0	2025-11-26 12:00:06.088	5m	1m 3s	975.2%	168 MB	2.7 GB	172.3 MB	70.3 MB
997	26/9a8f5f	7975131	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_milleri_GCF_040833955)	COMPLETED	0	2025-11-26 12:00:06.198	5m	59.3s	982.5%	190.8 MB	2.7 GB	169.5 MB	69.1 MB
996	5b/eb9579	7975130	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_kobayashii_GCF_003114835)	COMPLETED	0	2025-11-26 12:00:06.144	5m	1m 8s	991.2%	172.1 MB	2.7 GB	177.4 MB	72.9 MB
1006	18/d8bbf4	7975141	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_biflexa_GCF_000017685)	COMPLETED	0	2025-11-26 12:00:36.032	4m 30s	1m 1s	977.4%	193.7 MB	2.7 GB	171.3 MB	69.6 MB
986	49/8b565c	7975119	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_ognonensis_GCF_004770745_Leptospira_kemamanensis_GCF_004769665)	COMPLETED	0	2025-11-26 11:59:21.296	5m 45s	1m 1s	986.1%	167.7 MB	2.7 GB	159.8 MB	66.8 MB
1010	10/c413c6	7975145	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_harrisiae_GCF_002811945)	COMPLETED	0	2025-11-26 12:00:36.257	4m 30s	1m 3s	976.9%	175.9 MB	2.7 GB	171.3 MB	69.9 MB
999	1c/f625a6	7975134	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_meyeri_GCF_004368965)	COMPLETED	0	2025-11-26 12:00:21.006	5m 15s	1m 5s	974.2%	187.1 MB	2.8 GB	177.5 MB	72.4 MB
1000	03/848d97	7975135	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_idonii_GCF_004770995)	COMPLETED	0	2025-11-26 12:00:21.097	5m 15s	1m 7s	989.8%	172.5 MB	2.8 GB	173.5 MB	70.8 MB
1002	1a/ebb7ec	7975137	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_yasudae_GCF_003545925)	COMPLETED	0	2025-11-26 12:00:21.215	5m 15s	1m 10s	990.5%	174.5 MB	2.7 GB	181 MB	75.1 MB
1001	70/3c5ab4	7975136	BLAST:ANI_BLAST_BIOPYTHON (Leptospira_sarikeiensis_GCF_004769615_Leptospira_jelokensis_GCF_004769775)	COMPLETED	0	2025-11-26 12:00:21.160	5m 15s	1m 2s	980.9%	173.5 MB	2.7 GB	174.6 MB	71.2 MB
